name,description,price,imgUrl
Plum,1 large organic plum,0.99,https://i.imgur.com/bcdwERs.png
Strawberry,cup of organic strawberries,3.49,https://i.imgur.com/VIYSHYm.png
Watermelon,1 large organic watermelon,10.00,https://i.imgur.com/5BQo4t2.png
Tomato, 1 red tomato,2.90,https://i.imgur.com/4e0nnsh.png
Melon,1 yellow cantaloupe melon,5.99,https://i.imgur.com/MwxMrMj.png
Banana,bunch of 5 organic fair-trade bananas,5.56,https://i.imgur.com/UOkjIcm.png
Cherries,1 pound of sweet red cherries,12.30,https://i.imgur.com/7ztMnAq.png
Lime,1 green lime,0.99,https://i.imgur.com/5Kr7OUe.png
Pear,1 organic yellow pear,1.99,https://i.imgur.com/4uPpQ2u.png
Apple,1 granny smith apple,1.20,https://i.imgur.com/GlyER58.png
Lemon,1 yellow organic lemon,0.70,https://i.imgur.com/O3Z7FhD.png
Grapes,bunch of organic black grapes,5.66,https://i.imgur.com/5XZDTx5.png
